SystemCodeNumber,Timestamp,Occupancy,Capacity,OccupancyRate,QueueLength,TrafficConditionNearby,VehicleType,IsSpecialDay,Price_Model1,Price_Model2
BHMBCCMKT01,2016-10-04 07:59:00,61,577,0.10571923743500866,1,low,car,0,10.528596187175044,11.067401220999377
BHMBCCMKT01,2016-10-04 08:25:00,64,577,0.11091854419410745,1,low,car,0,11.083188908145582,11.071714534123029
BHMBCCMKT01,2016-10-04 08:59:00,80,577,0.1386481802426343,2,low,car,0,11.776429809358753,11.537168945866295
BHMBCCMKT01,2016-10-04 09:32:00,107,577,0.1854419410745234,2,low,car,0,12.70363951473137,11.575988763979147
BHMBCCMKT01,2016-10-04 09:59:00,150,577,0.25996533795493937,2,low,bike,0,14.003466204506067,11.084750324896728
BHMBCCMKT01,2016-10-04 10:26:00,177,577,0.30675909878682844,3,low,car,0,15.53726169844021,12.119082811948122
BHMBCCMKT01,2016-10-04 10:59:00,219,577,0.37954939341421146,6,high,truck,0,17.435008665511265,13.59530943594737
BHMBCCMKT01,2016-10-04 11:25:00,247,577,0.42807625649913345,5,average,car,0,19.575389948006933,12.971891912475748
BHMBCCMKT01,2016-10-04 11:59:00,259,577,0.4488734835355286,5,average,cycle,0,20.0,12.98914516497035
BHMBCCMKT01,2016-10-04 12:29:00,266,577,0.4610051993067591,8,high,bike,0,20.0,13.441659637342662
BHMBCCMKT01,2016-10-04 13:02:00,269,577,0.4662045060658579,7,high,car,0,20.0,13.55658546923726
BHMBCCMKT01,2016-10-04 13:29:00,263,577,0.4558058925476603,7,high,car,0,20.0,13.54795884298996
BHMBCCMKT01,2016-10-04 14:02:00,238,577,0.4124783362218371,5,high,car,0,20.0,12.627114416791951
BHMBCCMKT01,2016-10-04 14:29:00,215,577,0.37261698440207974,3,average,truck,0,20.0,12.594045682843964
BHMBCCMKT01,2016-10-04 14:57:00,192,577,0.3327556325823224,3,average,bike,0,20.0,11.454851761186491
BHMBCCMKT01,2016-10-04 15:30:00,165,577,0.28596187175043325,2,low,car,0,20.0,11.659379484369726
BHMBCCMKT01,2016-10-04 16:04:00,162,577,0.2807625649913345,1,low,bike,0,20.0,10.659553502307537
BHMBCCMKT01,2016-10-04 16:31:00,143,577,0.24783362218370883,2,average,car,0,20.0,11.495013498937816
BHMBCCMKT01,2016-10-05 07:57:00,54,577,0.09358752166377816,1,low,car,0,20.0,11.057336823710862
BHMBCCMKT01,2016-10-05 08:30:00,59,577,0.1022530329289428,1,average,car,0,20.0,10.931790656391806
BHMBCCMKT01,2016-10-05 09:04:00,71,577,0.12305025996533796,2,low,car,0,20.0,11.524229006495341
BHMBCCMKT01,2016-10-05 09:30:00,83,577,0.1438474870017331,2,average,car,0,20.0,11.408747236464805
BHMBCCMKT01,2016-10-05 10:04:00,114,577,0.1975736568457539,3,low,car,0,20.0,12.02850323635146
BHMBCCMKT01,2016-10-05 10:30:00,128,577,0.2218370883882149,4,high,truck,0,20.0,12.579572121029049
BHMBCCMKT01,2016-10-05 11:04:00,148,577,0.2564991334488735,4,average,bike,0,20.0,11.834039910456745
BHMBCCMKT01,2016-10-05 11:30:00,162,577,0.2807625649913345,4,average,car,0,20.0,12.407231298888524
BHMBCCMKT01,2016-10-05 12:04:00,178,577,0.30849220103986136,6,high,car,0,20.0,12.983298229402735
BHMBCCMKT01,2016-10-05 12:30:00,183,577,0.317157712305026,7,high,car,0,20.0,13.432937159692615
BHMBCCMKT01,2016-10-05 12:57:00,175,577,0.30329289428076256,7,high,car,0,20.0,13.42143499136288
BHMBCCMKT01,2016-10-05 13:30:00,179,577,0.31022530329289427,6,high,truck,0,20.0,13.537798594298696
BHMBCCMKT01,2016-10-05 13:57:00,174,577,0.30155979202772965,4,average,car,0,20.0,12.424484551383125
BHMBCCMKT01,2016-10-05 14:30:00,158,577,0.2738301559792028,5,high,car,0,20.0,12.512092733494605
BHMBCCMKT01,2016-10-05 14:57:00,145,577,0.2512998266897747,3,average,car,0,20.0,11.940339116104044
BHMBCCMKT01,2016-10-05 15:30:00,129,577,0.22357019064124783,2,low,car,0,20.0,11.607619726885918
BHMBCCMKT01,2016-10-05 16:04:00,121,577,0.2097053726169844,2,low,car,0,20.0,11.596117558556182
BHMBCCMKT01,2016-10-05 16:30:00,114,577,0.1975736568457539,1,low,bike,0,20.0,10.590540492329128
BHMBCCMKT01,2016-10-06 07:57:00,58,577,0.10051993067590988,1,low,car,0,20.0,11.063087907875728
BHMBCCMKT01,2016-10-06 08:30:00,63,577,0.10918544194107452,1,low,car,0,20.0,11.070276763081813
BHMBCCMKT01,2016-10-06 08:57:00,70,577,0.12131715771230503,1,low,car,0,20.0,11.080341160370331
BHMBCCMKT01,2016-10-06 09:30:00,95,577,0.16464471403812825,2,low,car,0,20.0,11.558735511484546
BHMBCCMKT01,2016-10-06 10:03:00,135,577,0.2339688041594454,3,low,car,0,20.0,12.058696428217013
BHMBCCMKT01,2016-10-06 10:30:00,160,577,0.2772963604852686,3,average,car,0,20.0,11.961905681722296
BHMBCCMKT01,2016-10-06 10:57:00,177,577,0.30675909878682844,3,average,car,0,20.0,11.986347789422982
BHMBCCMKT01,2016-10-06 11:30:00,191,577,0.3310225303292894,4,average,cycle,0,20.0,12.448926659083812
BHMBCCMKT01,2016-10-06 12:04:00,199,577,0.34488734835355284,7,high,car,0,20.0,13.455941496352084
BHMBCCMKT01,2016-10-06 12:30:00,206,577,0.35701906412478335,7,high,car,0,20.0,13.466005893640602
BHMBCCMKT01,2016-10-06 12:57:00,198,577,0.3431542461005199,5,average,car,0,20.0,12.901441131456124
BHMBCCMKT01,2016-10-06 13:30:00,208,577,0.36048526863084923,7,high,bike,0,20.0,12.915818841868292
BHMBCCMKT01,2016-10-06 13:57:00,200,577,0.3466204506065858,5,average,car,0,20.0,12.904316673538556
BHMBCCMKT01,2016-10-06 14:30:00,175,577,0.30329289428076256,3,average,cycle,0,20.0,11.98347224734055
BHMBCCMKT01,2016-10-06 15:04:00,158,577,0.2738301559792028,2,low,car,0,20.0,11.649315087081206
BHMBCCMKT01,2016-10-06 15:31:00,153,577,0.2651646447140381,2,low,bike,0,20.0,11.08906363802038
BHMBCCMKT01,2016-10-06 16:04:00,135,577,0.2339688041594454,1,low,bike,0,20.0,10.620733684194681
BHMBCCMKT01,2016-10-06 16:30:00,129,577,0.22357019064124783,2,low,car,0,20.0,11.607619726885918
BHMBCCMKT01,2016-10-07 08:03:00,58,577,0.10051993067590988,2,low,car,0,20.0,11.505537982959524
BHMBCCMKT01,2016-10-07 08:30:00,61,577,0.10571923743500866,2,average,car,0,20.0,11.377116273558034
BHMBCCMKT01,2016-10-07 09:04:00,75,577,0.12998266897746968,1,low,car,0,20.0,11.087530015576414
BHMBCCMKT01,2016-10-07 09:30:00,103,577,0.17850953206239167,2,low,car,0,20.0,11.57023767981428
BHMBCCMKT01,2016-10-07 09:57:00,128,577,0.2218370883882149,2,low,bike,0,20.0,11.053119361989959
BHMBCCMKT01,2016-10-07 10:30:00,172,577,0.29809358752166376,5,high,truck,0,20.0,13.085284121926383
BHMBCCMKT01,2016-10-07 10:57:00,188,577,0.32582322357019067,3,average,car,0,20.0,12.002163270876366
BHMBCCMKT01,2016-10-07 11:30:00,199,577,0.34488734835355284,4,average,bike,0,20.0,11.907366233558804
BHMBCCMKT01,2016-10-07 12:03:00,210,577,0.36395147313691506,7,high,car,0,20.0,13.47175697780547
BHMBCCMKT01,2016-10-07 12:30:00,206,577,0.35701906412478335,7,high,bike,0,20.0,12.912943299785859
BHMBCCMKT01,2016-10-07 13:04:00,200,577,0.3466204506065858,7,high,car,0,20.0,13.457379267393302
BHMBCCMKT01,2016-10-07 13:30:00,201,577,0.3483535528596187,7,high,car,0,20.0,13.458817038434518
BHMBCCMKT01,2016-10-07 14:03:00,193,577,0.3344887348353553,3,average,bike,0,20.0,11.456289532227707
BHMBCCMKT01,2016-10-07 14:30:00,181,577,0.31369150779896016,4,average,car,0,20.0,12.434548948671644
BHMBCCMKT01,2016-10-07 15:04:00,172,577,0.29809358752166376,2,low,truck,0,20.0,12.222506475512985
BHMBCCMKT01,2016-10-07 15:30:00,159,577,0.2755632582322357,2,low,cycle,0,20.0,11.650752858122422
BHMBCCMKT01,2016-10-07 15:57:00,158,577,0.2738301559792028,2,low,cycle,0,20.0,11.649315087081206
BHMBCCMKT01,2016-10-07 16:30:00,132,577,0.22876949740034663,2,low,car,0,20.0,11.611933040009568
BHMBCCMKT01,2016-10-08 07:57:00,58,577,0.10051993067590988,1,low,car,0,20.0,11.063087907875728
BHMBCCMKT01,2016-10-08 08:30:00,61,577,0.10571923743500866,2,average,car,0,20.0,11.377116273558034
BHMBCCMKT01,2016-10-08 08:57:00,75,577,0.12998266897746968,1,low,truck,0,20.0,11.640592609431158
BHMBCCMKT01,2016-10-08 09:30:00,104,577,0.18024263431542462,2,low,car,0,20.0,11.571675450855496
BHMBCCMKT01,2016-10-08 10:04:00,158,577,0.2738301559792028,3,low,car,0,20.0,12.091765162165
BHMBCCMKT01,2016-10-08 10:30:00,191,577,0.3310225303292894,3,average,truck,0,20.0,12.55953917785476
BHMBCCMKT01,2016-10-08 10:57:00,223,577,0.38648180242634317,4,average,truck,0,20.0,13.047997926257493
BHMBCCMKT01,2016-10-08 11:30:00,254,577,0.44020797227036396,4,average,car,0,20.0,12.539506234680474
BHMBCCMKT01,2016-10-08 12:04:00,306,577,0.5303292894280762,7,high,car,0,20.0,13.609782997762284
BHMBCCMKT01,2016-10-08 12:30:00,320,577,0.5545927209705372,8,high,car,0,20.0,14.072361867423115
BHMBCCMKT01,2016-10-08 13:04:00,348,577,0.6031195840554593,7,high,car,0,20.0,13.670169381493393
BHMBCCMKT01,2016-10-08 13:30:00,357,577,0.6187175043327556,7,high,car,0,20.0,13.683109320864343
BHMBCCMKT01,2016-10-08 14:03:00,395,577,0.6845753899480069,4,average,bike,0,20.0,12.189169357637304
BHMBCCMKT01,2016-10-08 14:30:00,400,577,0.6932409012131716,4,average,car,0,20.0,12.749420806698131
BHMBCCMKT01,2016-10-08 14:57:00,395,577,0.6845753899480069,4,average,car,0,20.0,12.742231951492046
BHMBCCMKT01,2016-10-08 15:30:00,406,577,0.7036395147313691,3,average,car,0,20.0,12.315597357861638
BHMBCCMKT01,2016-10-08 16:04:00,381,577,0.6603119584055459,2,low,car,0,20.0,11.96993802927256
BHMBCCMKT01,2016-10-08 16:30:00,365,577,0.6325823223570191,2,low,truck,0,20.0,12.499996286467834
BHMBCCMKT01,2016-10-09 08:04:00,42,577,0.07279029462738301,2,low,car,1,20.0,12.035596240154796
BHMBCCMKT01,2016-10-09 08:30:00,42,577,0.07279029462738301,2,low,bike,1,20.0,11.482533646300052
BHMBCCMKT01,2016-10-09 09:04:00,43,577,0.07452339688041594,2,low,car,1,20.0,12.037034011196013
BHMBCCMKT01,2016-10-09 09:30:00,43,577,0.07452339688041594,2,low,cycle,1,20.0,12.037034011196013
BHMBCCMKT01,2016-10-09 09:57:00,50,577,0.08665511265164645,3,average,car,1,20.0,12.356813461043185
BHMBCCMKT01,2016-10-09 10:30:00,64,577,0.11091854419410745,5,high,cycle,1,20.0,12.930004849474965
BHMBCCMKT01,2016-10-09 11:04:00,100,577,0.1733102253032929,6,average,truck,1,20.0,14.309114832210154
BHMBCCMKT01,2016-10-09 11:30:00,126,577,0.21837088388214904,6,average,car,1,20.0,13.793434285427049
BHMBCCMKT01,2016-10-09 11:57:00,148,577,0.2564991334488735,6,average,car,1,20.0,13.825065248333818
BHMBCCMKT01,2016-10-09 12:30:00,170,577,0.29462738301559793,9,high,truck,1,20.0,15.40527147403387
BHMBCCMKT01,2016-10-09 13:04:00,189,577,0.3275563258232236,8,high,car,1,20.0,14.437076454878452
BHMBCCMKT01,2016-10-09 13:30:00,205,577,0.35528596187175043,9,high,bike,1,20.0,14.349468272766973
BHMBCCMKT01,2016-10-09 14:03:00,208,577,0.36048526863084923,7,high,cycle,1,20.0,14.021944029577778
BHMBCCMKT01,2016-10-09 14:30:00,209,577,0.36221837088388215,5,average,car,1,20.0,13.470319206764252
BHMBCCMKT01,2016-10-09 15:04:00,191,577,0.3310225303292894,3,low,car,1,20.0,12.692274200379899
BHMBCCMKT01,2016-10-09 15:30:00,180,577,0.3119584055459272,3,low,car,1,20.0,12.676458718926513
BHMBCCMKT01,2016-10-09 16:03:00,155,577,0.268630849220104,3,low,truck,1,20.0,13.193577036750836
BHMBCCMKT01,2016-10-09 16:30:00,133,577,0.23050259965337955,2,low,car,1,20.0,12.166433404905527
BHMBCCMKT01,2016-10-10 08:04:00,54,577,0.09358752166377816,1,low,bike,0,20.0,10.504274229856119
BHMBCCMKT01,2016-10-10 08:30:00,56,577,0.09705372616984402,1,low,truck,0,20.0,11.613274959648038
BHMBCCMKT01,2016-10-10 09:04:00,65,577,0.11265164644714037,1,low,car,0,20.0,11.073152305164246
BHMBCCMKT01,2016-10-10 09:30:00,73,577,0.1265164644714038,2,low,bike,0,20.0,10.974041954723033
BHMBCCMKT01,2016-10-10 10:03:00,92,577,0.15944540727902945,2,low,cycle,0,20.0,11.554422198360896
BHMBCCMKT01,2016-10-10 10:30:00,113,577,0.19584055459272098,4,average,cycle,0,20.0,12.336780517868899
BHMBCCMKT01,2016-10-10 10:57:00,144,577,0.24956672443674177,3,average,car,0,20.0,11.938901345062828
BHMBCCMKT01,2016-10-10 11:30:00,149,577,0.2582322357019064,4,average,car,0,20.0,12.388540275352703
BHMBCCMKT01,2016-10-10 11:57:00,159,577,0.2755632582322357,4,average,car,0,20.0,12.402917985764873
BHMBCCMKT01,2016-10-10 12:30:00,171,577,0.29636048526863085,6,high,car,0,20.0,12.97323383211422
BHMBCCMKT01,2016-10-10 13:04:00,176,577,0.3050259965337955,5,average,truck,0,20.0,13.422872762404097
BHMBCCMKT01,2016-10-10 13:30:00,172,577,0.29809358752166376,6,high,car,0,20.0,12.974671603155434
BHMBCCMKT01,2016-10-10 14:03:00,161,577,0.27902946273830154,5,high,car,0,20.0,12.516406046618256
BHMBCCMKT01,2016-10-10 14:30:00,154,577,0.2668977469670711,3,average,car,0,20.0,11.953279055474994
BHMBCCMKT01,2016-10-10 14:57:00,137,577,0.23743500866551126,4,average,car,0,20.0,12.371287022858102
BHMBCCMKT01,2016-10-10 15:30:00,129,577,0.22357019064124783,1,low,bike,0,20.0,10.612107057947382
BHMBCCMKT01,2016-10-10 15:57:00,130,577,0.22530329289428075,3,average,car,0,20.0,11.91877255048579
